id,mean,median
v37f1105c1,0.3004928516550652,0.2912251055240631
03v37f1084,0.24402403770505315,0.25223082304000854
06v80f2304,0.312313357661841,0.2821333408355713
v47f1348c1,0.2873502104721345,0.23724137246608734
03v37f1110,0.22263144203394925,0.21485242247581482
01v01f0001,0.41802750868666433,0.4164170026779175
v37f1110c2,0.19421471416278188,0.18112094700336456
v80f2304c1,0.3111325762090408,0.2811613082885742
03v37f1081,0.2794464620246909,0.26358556747436523
v37f1089c1,0.31993487350958544,0.31195634603500366
06v80f2291,0.4724905890387458,0.4690692126750946
06v80f2306,0.4401926419982055,0.4337644577026367
06v80f2286,0.37702536917518303,0.29778122901916504
06v80f2298,0.3401906319833641,0.2793366312980652
80f2306 c1,0.4417679233384202,0.43660780787467957
06v80f2299,0.3339099446373635,0.26971763372421265
05v56f1546,0.3376877137104898,0.31499066948890686
04v47f1344,0.4143949615760483,0.3936117887496948
03v37f1096,0.26033029211572856,0.25371110439300537
02v18f0547,0.29840920021584083,0.2570568323135376
v01f0010c1,0.4521214978448276,0.4398064613342285
02v18f0556,0.2342643446594704,0.2008480429649353
04v47f1348,0.27981444247546344,0.22901269793510437
06v80f2295,0.38616856784685283,0.3569556474685669
01v01f0008,0.39156599778395434,0.3956446647644043
03v37f1097,0.28178288536706747,0.2724096477031708
03v37f1095,0.24597616044301834,0.22823555767536163
v18f0546c1,0.22068766747128257,0.19448477029800415
v37f1095c1,0.24812072120660414,0.22826087474822998
04v47f1339,0.4685415872713415,0.46780842542648315
05v56f1565,0.40190885162811185,0.3744010925292969
v37f1110c1,0.2006164308578249,0.18125347793102264
v37f1096c1,0.2691213847785596,0.26596981287002563
05v56f1558,0.2958253728693182,0.2912975549697876
05v56f1548,0.2966572841555085,0.2671881318092346
01v01f0010,0.48269177833967775,0.4811975359916687
06v80f2294,0.3569406590317235,0.3167053461074829
06v80f2300,0.3009354361218927,0.25724637508392334
02v18f0535,0.29084483697092284,0.24447612464427948
02v18f0537,0.2749255102385515,0.23928773403167725
02v18f0546,0.21378232515775242,0.19318178296089172
02v18f0538,0.2117230435075431,0.20456905663013458
03v37f1105,0.30069095273561114,0.2911524772644043
02v18f0545,0.25466982006056277,0.22765956819057465
03v37f1089,0.32602689966197573,0.31375741958618164
01v01f0011,0.339692242023673,0.31706488132476807
v37f1081c1,0.26411972286573343,0.22981488704681396
04v47f1345,0.4421517023290812,0.4307308495044708
05v56f1543,0.38932941505412516,0.3626313805580139
v47f1345c1,0.4401310452923865,0.4314381182193756
v37f1084c1,0.24641282709944606,0.2541436553001404
02v18f0541,0.2838107535796534,0.2471482902765274
05v64f1783,0.34625146699988324,0.31600162386894226
03v39f1155,0.39963372129272207,0.33095723390579224
03v39f1154,0.3690225468125454,0.31193649768829346
02v15f0434,0.427953611383784,0.416734516620636
v39f1154c1,0.37342671328370675,0.32674896717071533
v39f1170c1,0.2811820517317372,0.2664092779159546
v39f1155c1,0.4012023239028437,0.3344229757785797
01v05f0144,0.48941127980581317,0.49346521496772766
v14f0402c1,0.23582104919622168,0.228610560297966
01v05f0137,0.27419739002312166,0.24562086164951324
06v76f2168,0.21513246726212143,0.20220732688903809
v37f1091c2,0.26995315262400243,0.27355530858039856
05v64f1778,0.29040418894645076,0.2865753471851349
06v76f2167,0.2795815277516744,0.24252817034721375
01v08f0225,0.351438990000388,0.3245217502117157
02v14f0391,0.47743376008756866,0.46683937311172485
03v39f1170,0.2716844998873197,0.2633810043334961
03v37f1091,0.30497716632351013,0.2977527976036072
05v64f1781,0.2907242188479174,0.2821245491504669
04v55f1515,0.39378237229838253,0.3719279170036316
01v08f0219,0.3748146415556837,0.35779207944869995
02v14f0395,0.2231389126084021,0.20807237923145294
01v05f0149,0.2840079757085456,0.2638043761253357
02v22f0663,0.4933782201274515,0.5196551084518433
04v43f1233,0.40469047474184244,0.38849949836730957
02v14f0402,0.23284288227851754,0.22297565639019012
