id,mean,median
v37f1105c1,1.471603064112691,1.4016649723052979
03v37f1084,1.2487469060951486,1.2921255826950073
06v80f2304,1.7969956014487016,1.6836283206939697
v47f1348c1,1.4874791995712997,1.219478726387024
03v37f1110,1.099375818046162,1.0473257303237915
01v01f0001,2.001843167223786,1.9083969593048096
v37f1110c2,0.9539233800750759,0.8963110446929932
v80f2304c1,1.78332839925771,1.667074203491211
03v37f1081,1.3627578709028176,1.2399232387542725
v37f1089c1,1.637237624931811,1.61764395236969
06v80f2291,2.696628879856419,2.456357002258301
06v80f2306,2.4128626548275562,2.2876815795898438
06v80f2286,2.0690001882817266,1.6512523889541626
06v80f2298,1.8771446132768161,1.588057041168213
80f2306 c1,2.425422868645226,2.29730224609375
06v80f2299,1.8793641717940415,1.5824742317199707
05v56f1546,1.712415635073424,1.5170459747314453
04v47f1344,2.112383985485519,1.923238754272461
03v37f1096,1.2388524802334338,1.1965199708938599
02v18f0547,1.5143950591216215,1.2873899936676025
v01f0010c1,2.2037991227774785,2.0854392051696777
02v18f0556,1.7342836802242367,1.658355951309204
04v47f1348,1.4188066022866686,1.1883440017700195
06v80f2295,2.2301277900136673,1.958282232284546
01v01f0008,1.8280865009014422,1.7936956882476807
03v37f1097,1.4367558556237996,1.3559985160827637
03v37f1095,1.2541846219824735,1.1490155458450317
v18f0546c1,1.5125059356910275,1.4922031164169312
v37f1095c1,1.2771238675616021,1.1521738767623901
04v47f1339,2.431279444714571,2.2110092639923096
05v56f1565,2.195758602185813,2.0234742164611816
v37f1110c1,1.0006411597842262,0.9287872314453125
v37f1096c1,1.2718452863433591,1.246659755706787
05v56f1558,1.4478753551136363,1.3840878009796143
05v56f1548,1.5793393225584593,1.4344682693481445
01v01f0010,2.338887244378541,2.298262596130371
06v80f2294,1.8327740293560606,1.5284504890441895
06v80f2300,1.6531296963401698,1.409022569656372
02v18f0535,1.6090459828999435,1.353348731994629
02v18f0537,1.7779299945951257,1.6521973609924316
02v18f0546,1.4755734174679487,1.4463521242141724
02v18f0538,1.4570218211206896,1.416340708732605
03v37f1105,1.4721996452234969,1.4018783569335938
02v18f0545,1.7082326909341734,1.6378505229949951
03v37f1089,1.6579554812534492,1.6111431121826172
01v01f0011,1.5640313984682175,1.4707310199737549
v37f1081c1,1.2995566960764984,1.1245739459991455
04v47f1345,2.261920106593359,1.9834049940109253
05v56f1543,2.0554680910085956,1.9482266902923584
v47f1345c1,2.2063109579663505,2.015113353729248
v37f1084c1,1.2618622132368311,1.2941757440567017
02v18f0541,1.89026129017267,1.698734164237976
05v64f1783,1.818395531695822,1.5805690288543701
03v39f1155,2.007330318030014,1.6014418601989746
03v39f1154,1.792748207269713,1.5191289186477661
02v15f0434,2.544501586281574,2.2718939781188965
v39f1154c1,1.8082022037146226,1.5676462650299072
v39f1170c1,1.4115133228022718,1.3229358196258545
v39f1155c1,2.009115098397943,1.612394094467163
01v05f0144,2.3826759848252608,2.3189823627471924
v14f0402c1,1.3046061616970264,1.270503044128418
01v05f0137,1.2669724290558257,1.120672583580017
06v76f2168,1.2067275316686081,1.1501057147979736
v37f1091c2,1.3075346241407237,1.3125
05v64f1778,1.4618089102478677,1.452830195426941
06v76f2167,1.4075060761515856,1.2350937128067017
01v08f0225,1.643332672592722,1.479297399520874
02v14f0391,2.7268868284493286,2.550436019897461
03v39f1170,1.3580295179017197,1.298531413078308
03v37f1091,1.4951945001201503,1.4473398923873901
05v64f1781,1.463397836940174,1.4354581832885742
04v55f1515,1.964700215565825,1.838838815689087
01v08f0219,1.7773349429136955,1.685104250907898
02v14f0395,1.4346292836654588,1.424242377281189
01v05f0149,1.358314682208494,1.1994495391845703
02v22f0663,2.7546206355912033,2.742774486541748
04v43f1233,2.0238385606639393,1.7680132389068604
02v14f0402,1.2969731373152709,1.2487229108810425
20v22f0676,3.419510788186925,3.7320871353149414
15f0450 c1,3.030097562293295,3.0247294902801514
03v39f1148,1.4971126479271968,1.4039232730865479
02v15f0450,2.9056646095938374,2.954545497894287
01v03f0070,1.5778380964323098,1.481662631034851
06v76f2161,1.6048365782596017,1.3179792165756226
v43f1221c1,2.193927680121528,1.9949618577957153
04v43f1221,2.1350540745887563,1.9300322532653809
v37f1091c1,1.4814287734520666,1.3953757286071777
02v14f0413,2.7274174649617544,2.6848485469818115
6v80f2285c,2.160954598874846,1.993802547454834
02v20f0619,1.8901311848958333,1.8008302450180054
01v11f0329,,
02v15f0437,2.5158302535553894,1.9987804889678955
02v15f0454,2.250732281564296,1.753056526184082
02v15f0662,2.834795895805256,2.6879875659942627
01v03f0077,1.8166839297455135,1.649171233177185
v14f0411c1,1.2899824629316816,1.239880084991455
02v14f0411,1.2989801849048443,1.232445478439331
02v19f0591,2.2903079710144927,1.9912917613983154
02v15f0455,3.482512750536865,3.658536672592163
04v50f1405,1.496470419208655,1.414756178855896
05v60f1655,1.3892197924341028,1.3816475868225098
v50f1405c1,1.5136971800866788,1.4125351905822754
02v15f0427,2.123243884815332,1.600000023841858
02v18f0536,1.5341497927295917,1.502212405204773
06v80f2288,1.8493528854015262,1.6254570484161377
04v43f1224,1.7087535313197544,1.471561074256897
05v60f1658,1.3369991391833747,1.3166667222976685
01v03f0084,1.2612443389170174,0.9587628841400146
01v02f0044,1.5223052683048064,1.430897831916809
06v80f2285,2.2393600070492705,2.099226474761963
01v11f0325,1.689605511030517,1.5918653011322021
06v76f2172,1.4223163633536375,1.2418032884597778
04v51f1435,2.551315828460809,2.3438377380371094
04v51f1419,3.0185994363132913,3.1841726303100586
02v15f0451,2.280733808004175,1.7804877758026123
05v62f1733,1.3189212694718846,1.289719581604004
02v14f0407,1.3994398804114343,1.3866877555847168
v08f0221c1,1.5517965649801588,1.4586466550827026
05v66f1853,1.5346073604130244,1.4690053462982178
01v08f0215,1.4910801870380332,1.4263489246368408
04v46f1320,2.032453561690525,1.7684824466705322
04v50f1411,2.4099702015362947,1.8979246616363525
46f1320 c1,2.044060540116782,1.7684824466705322
v50f1411c1,2.022463279376499,1.5018270015716553
06v70f1972,2.0235446294148765,1.7106006145477295
01v10f0280,1.7931007483970656,1.6846442222595215
06v70f1955,2.0715464187143873,1.9518113136291504
01v10f0295,2.8191691682060753,2.833080530166626
01v12f0345,2.673366489856485,2.6870555877685547
06v70f1980,2.248568586960994,1.6919059753417969
01v08f0212,1.7939148674101841,1.7367528676986694
03v28f0828,1.6744412681912682,1.5
01v01f0018,3.075552734375,3.2752809524536133
01v10f0284,2.286055821054828,2.2424607276916504
05v66f1852,1.4720358291858344,1.263823390007019
51f1419 c1,2.9955289977885733,3.0288853645324707
01v08f0221,1.5474484650985054,1.4006478786468506
v28f0828c1,1.6035888294532457,1.3695675134658813
v27f0819c2,1.4690652122467545,1.4109890460968018
04v50f1409,1.7055187799111213,1.3446428775787354
03v28f0852,1.8841595039776307,1.7042253017425537
05v65f1803,1.8125199846327122,1.5440000295639038
04v50f1413,1.6583966916589812,1.367764949798584
03v27f0819,1.664216478686485,1.574906349182129
02v21f0624,1.427797351203622,1.389095425605774
v75f2133c2,1.6482095514577193,1.3746130466461182
v75f2128c1,1.616025390625,1.3971503973007202
03v27f0808,1.4373326802930737,1.4013303518295288
01v04f0105,1.5756136576334636,1.4278316497802734
01v06f0161,1.5980259681452016,1.478773593902588
05v65f1828,1.4803990606051773,1.480755090713501
03v28f0835,2.1519627767226828,2.0670926570892334
v50f1413c1,1.7913010951450894,1.4970319271087646
04v50f1404,1.7215431906960228,1.5344443321228027
03v28f0842,1.6947539910532565,1.440544605255127
02v21f0635,1.246921247776931,1.2576160430908203
v04f0105c1,1.518077424472981,1.4069149494171143
02v21f0648,1.4989962957601632,1.417565941810608
v28f0848c1,1.8801369563260244,1.7655653953552246
02v21f0645,1.4045933202874439,1.251207709312439
b05v65f827,1.4461811568000327,1.4428507089614868
02v21f0634,1.5424451207822085,1.482758641242981
v28f0835c1,2.3841866461919534,2.2787795066833496
06v75f2128,1.6579611240824934,1.4323292970657349
v28f0842c1,1.7122706386336894,1.4615384340286255
03v28f0848,1.9437078913417432,1.8406524658203125
v27f0819c1,2.0027273367117115,1.8782435655593872
04v50f1397,1.9662370518848555,1.7349388599395752
05v65f1819,2.1598924936263906,1.8550009727478027
02v21f0641,1.1846500346314015,1.1196905374526978
06v75f2133,1.4983889940761848,1.303030252456665
v75f2133c1,1.5904025048324741,1.3096773624420166
06v75f2147,2.06689453125,2.0256409645080566
03v31f0918,1.7111731219840387,1.5953826904296875
04v53f1458,2.294472430291938,2.2700893878936768
02v25f0730,1.8308513423939443,1.6548255681991577
v31f0934c1,1.4920317292944785,1.3301188945770264
02v25f0747,2.1696452021890282,2.0180280208587646
04v53f1473,1.708578673245614,1.4635568857192993
v31f0917c1,1.6297943300189395,1.6211576461791992
04v53f1461,2.0580990377286583,1.9892473220825195
02v25f0757,1.6462519089923804,1.263648509979248
05v64f1798,1.6558359558679467,1.5422582626342773
02v25f0746,1.8239837361273366,1.6258360147476196
v31f0909c1,1.859859348783557,1.641068935394287
01v03f0076,1.6242250693170448,1.5450292825698853
