Id,consent,SII_1,SII_1_other,SII_1_reason,SII_2,SII_2_unit,SII_2_unit_other,SII_3_1,SII_3_2,SII_3_2_other,SII_3_1_sub,SII_3_2_sub,SII_4_1,SII_4_2,SII_4_2_other,LoginDate,LoginStartTime,LoginEndTime,LoginDate_Last,LoginStartTime_Last,LoginEndTime_Last,SII_5,SII_6_1_UREA,SII_6_2_UREA,SII_6_3_UREA,SII_6_3_other_UREA,SII_6_4_UREA,SII_6_4_other_UREA,SII_7_1_UREA,SII_7_2_UREA,SII_7_3_UREA,SII_6_1_DAP,SII_6_2_DAP,SII_6_3_DAP,SII_6_3_other_DAP,SII_6_4_DAP,SII_6_4_other_DAP,SII_7_1_DAP,SII_7_2_DAP,SII_7_3_DAP,SII_6_1_MOP,SII_6_2_MOP,SII_6_3_MOP,SII_6_3_other_MOP,SII_6_4_MOP,SII_6_4_other_MOP,SII_7_1_MOP,SII_7_2_MOP,SII_7_3_MOP,SII_6_1_ZINC,SII_6_2_ZINC,SII_6_3_ZINC,SII_6_3_other_ZINC,SII_6_4_ZINC,SII_6_4_other_ZINC,SII_7_1_ZINC,SII_7_2_ZINC,SII_7_3_ZINC,SII_6_1_NPK,SII_6_2_NPK,SII_6_3_NPK,SII_6_3_other_NPK,SII_6_4_NPK,SII_6_4_other_NPK,SII_7_1_NPK,SII_7_2_NPK,SII_7_3_NPK,FKT_1,FKT_2,FKT_3
B01V01F0025,1,1,,,1,2,,4,1,,0,,1,2,,11-8-2018,9:52:2,9:52:28,,,,1,0,,,,,,,,,1,2,5,,2,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,SARAS CHHE MAHITI SEVA
B01V01F0026,1,1,,,40,1,,3.5,1,,0,,1,2,,18-8-2018,12:0:26,12:0:46,,,,1,0,,,,,,,,,1,75,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V01F0027,1,1,,,1,2,,1,2,,0,,0,,,10-8-2018,17:4:54,17:5:59,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
B01V01F0028,1,1,,,45,1,,4,1,,0,,1,2,,16-8-2018,11:45:9,11:46:0,,,,1,0,,,,,,,,,1,2,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,4,
B01V01F0029,1,1,,,45,1,,2,1,,,,1,2,,7-8-2018,11:35:14,11:37:30,7-8-2018,11:56:21,11:56:33,1,0,,,,,,,,,1,70,1,,,,1,,,1,20,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,1,3,KOI SUDHAR KARVANI JARUR NATHI AEM KE CHE SARI CHE MAHITI
B01V01F0030,0,,,,,,,,,,,,,,,7-8-2018,11:10:17,11:21:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0031,1,1,,,60,1,,5,1,,0,,1,2,,17-8-2018,16:35:43,16:36:6,,,,1,0,,,,,,,,,1,2,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V01F0033,1,1,,,20,1,,3,1,,0,,1,3,,8-8-2018,11:22:21,11:23:6,8-8-2018,11:25:57,11:26:9,1,0,,,,,,,,,1,75,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V01F0034,1,1,,,75,1,,2.5,1,,0,,1,2,,16-8-2018,15:22:57,15:24:45,16-8-2018,15:30:40,15:30:54,1,1,20,1,,,,1,,,1,1,1,,,,1,,,1,8,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,1,5,KRISHI TARANG NI MAHITI MA KIDHU AETLU JNAKHIYU CHHE
B01V02F0037,1,1,,,15,1,,20,1,,0,,1,1,,10-8-2018,15:46:38,15:47:57,,,,1,0,,,,,,,,,1,6,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V02F0039,1,1,,,45,1,,25,1,,0,,1,2,,16-8-2018,10:24:5,10:25:42,,,,1,1,4,5,,3,,1,,,1,4,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,KHUB J SARI CHE MAHITI
B01V02F0040,1,1,,,1,2,,7.5,1,,0,,1,3,,8-8-2018,9:34:34,9:35:45,8-8-2018,9:38:59,9:39:23,1,0,,,,,,,,,1,1,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,4,
B01V02F0041,1,1,,,1,2,,9,1,,0,,1,1,,18-8-2018,9:53:39,9:54:53,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
B01V02F0042,1,1,,,6,1,,12,1,,0,,1,2,,10-8-2018,16:34:21,16:35:21,10-8-2018,17:1:12,17:2:13,1,0,,,,,,,,,1,4,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,3,
B01V02F0044,1,1,,,25,1,,8,1,,0,,1,2,,9-8-2018,10:21:15,10:22:14,9-8-2018,10:27:17,10:27:28,1,0,,,,,,,,,1,175,1,,,,1,,,1,3,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,
B01V02F0045,1,1,,,2,2,,25,1,,,,1,2,,7-8-2018,10:54:50,10:55:26,7-8-2018,11:20:32,11:20:47,1,0,,,,,,,,,1,1,5,,3,,1,25,1,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,SEVA BAHU SARI CHE
B01V02F0046,1,1,,,1,2,,25,1,,,,1,2,,7-8-2018,12:8:41,12:9:9,,,,1,0,,,,,,,,,1,4,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V02F0047,1,1,,,2,2,,20,1,,0,,1,2,,9-8-2018,9:37:55,9:39:2,,,,1,0,,,,,,,,,1,8,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,NA
