uid,lat,lon
B03V37F1084,22.14601278847249,71.41630988761166
B03V37F1110,22.165873350263098,71.4028677740423
B03V37F1081,22.16842729778396,71.4304886657006
B03V37F1096,22.15963672449918,71.39261139686504
B03V37F1097,22.250427997275533,71.48035427157728
B03V37F1095,22.2078878749814,71.51894555279908
B03V37F1105,22.232443386735355,71.39322366100097
B03V37F1089,22.178693740847518,71.42025675177865
B03V37F1091,22.166938304837192,71.46106070110463
B03V37F1100,22.212423561303456,71.40125835810674
B03V37F1083,22.200335684526372,71.48506152165595
B03V37F1090,22.174306569699212,71.35186086213177
B03V37F1104,22.15749506366001,71.45058863752074
B03V37F1098,22.1865416998062,71.39980211461418
B03V37F1088,22.14831759454,71.5142470304224
B03V37F1101,22.18102831103219,71.46470211833963
B03V37F1109,22.216011045184366,71.46907701314461
B03V37F1102,22.217172632796412,71.50542638635316
B03V37F1086,22.16252899828135,71.42989246084709
B03V37F1087,22.250539339987203,71.41633806812301
B03V37F1082,22.170503773300418,71.5211543171824
B03V37F1107,22.207070341529818,71.46750129833704
B03V37F1103,22.160175522321016,71.4919135925416
B03V37F1106,22.17246048387407,71.45101744102834
B03V37F1111,22.200170579726652,71.50339255239551
B06V80F2304,22.9409624207056,71.27950849575348
B06V80F2291,23.027797513064392,71.26225470173834
B06V80F2306,23.01504585219743,71.30597746612233
B06V80F2286,22.917187623430166,71.23768400027197
B06V80F2298,23.034777603098,71.32627888506634
B06V80F2299,23.001514627890685,71.22712809699186
B06V80F2295,22.986951258290283,71.29639542051848
B06V80F2294,22.90594846585668,71.31968937421598
B06V80F2300,22.93495915740512,71.3176731628475
B06V80F2288,23.038621433961143,71.20840953615804
B06V80F2285,22.941292350897523,71.24155305289854
B06V80F2313,22.996380540576396,71.29245436294157
B06V80F2282,22.974277401490856,71.32644519658727
B06V80F2305,22.97672344830734,71.3249168450408
B06V80F2309,22.922874507692818,71.25310951127408
B06V80F2307,23.00597803046133,71.30338435743325
B06V80F2284,22.98525863247872,71.24077740819901
B06V80F2311,23.068189816737835,71.26015174416223
B01V01F0001,22.458238595095924,71.74618055531587
B01V01F0008,22.41838395360237,71.73948145805308
B01V01F0010,22.39145227700763,71.77266332014473
B01V01F0011,22.428535930587742,71.72755851891387
B01V01F0018,22.471055323417485,71.82568914427114
B01V01F0005,22.45114315383549,71.7817880834854
B01V01F0026,22.466644035148622,71.71551131594057
B01V01F0029,22.471440160834593,71.75211795014536
B01V01F0024,22.4492355623347,71.73844411610249
B01V01F0021,22.471833993908913,71.70027407922585
B01V01F0015,22.441351489296835,71.78575473631037
B01V01F0033,22.42059481239301,71.71337856556823
B01V01F0019,22.484302697696986,71.69630372416907
B01V01F0002,22.44343577352483,71.74345184278157
B01V01F0017,22.434142467909307,71.8078568999249
B01V01F0004,22.48690624702402,71.7202402611053
B01V01F0023,22.46807968045345,71.79540018314353
B01V01F0030,22.52238558828016,71.79649474835277
B01V01F0028,22.430845538301536,71.74611068292553
B01V01F0034,22.469732777900195,71.71111523443996
B01V01F0013,22.52042971047913,71.75089737592016
B01V01F0027,22.51818130639917,71.76992910604521
B01V01F0007,22.50235500097902,71.7427070988032
B01V01F0020,22.463371774341194,71.78715807611358
B01V01F0031,22.406696694564378,71.70698763949036
B01V01F0025,22.472704860197837,71.7549686070166
B05V56F1546,22.688148780060402,70.76775416272751
B05V56F1565,22.756025578875416,70.70384131891285
B05V56F1558,22.7886201725362,70.6904870197767
B05V56F1548,22.72377410010755,70.65186496858236
B05V56F1543,22.670663737367423,70.71999739726667
B05V56F1564,22.718502739236403,70.69521653033551
B05V56F1552,22.699574077621516,70.77899192834292
B05V56F1562,22.68460128782561,70.67212280061844
B05V56F1542,22.737586946354906,70.77870596698311
B05V56F1556,22.782552673104664,70.75411215432385
B05V56F1545,22.76772252522417,70.62966238050511
B05V56F1550,22.680927169104923,70.68914859923571
B05V56F1547,22.696162231029323,70.6362468581136
B05V56F1559,22.798134075453493,70.7660712995608
B05V56F1554,22.709727305208816,70.67441096378442
B05V56F1538,22.682629413119244,70.75303864076284
B04V47F1344,22.09275544163185,71.19581578372345
B04V47F1348,22.07793200500534,71.21742482528254
B04V47F1339,22.05460730182438,71.16448508607265
B04V47F1345,22.124122995270504,71.26825707913757
B04V47F1353,22.04533004752833,71.24991648785871
B04V47F1336,22.11337209129149,71.14920565322866
B04V47F1335,22.065463084124378,71.21118539001026
B04V47F1340,22.116183606142965,71.19656102447675
B04V47F1354,22.09734246244986,71.17122495951462
B04V47F1334,22.067949069866806,71.21412045690276
B04V47F1347,22.120401569971587,71.12601463627159
B04V47F1355,22.06192791725919,71.27227090651293
B04V47F1343,22.088954498529247,71.17295280125109
B04V47F1338,22.07580109324712,71.20412312046308
B04V47F1352,22.00746489635226,71.15393276584658
B04V47F1342,22.08167277980443,71.14275357232646
B04V47F1349,22.119979897808218,71.16735941746073
B02V18F0547,22.79051366812935,71.36945234214927
B02V18F0556,22.684374795482963,71.39742159295255
B02V18F0535,22.74043695978387,71.44983262319211
B02V18F0537,22.78383993063756,71.30881413611085
B02V18F0546,22.796645666796124,71.33944783332849
B02V18F0538,22.681980256505348,71.39699364126803
B02V18F0545,22.70358130916538,71.31360547309528
B02V18F0541,22.743979488680793,71.37137858115463
B02V18F0536,22.73046880584497,71.36790480869413
B02V18F0561,22.765128852584883,71.34280077208548
B02V18F0554,22.75877640213825,71.4139148470745
B02V18F0549,22.658566198537688,71.3875481397318
B02V18F0563,22.72861475523431,71.41619910177893
B02V18F0562,22.75341658720956,71.42709892059528
B02V18F0544,22.776055724541308,71.40664482736797
B02V18F0548,22.747690148578823,71.3540614018064
B02V18F0543,22.752211588305144,71.4227343377798
B02V18F0560,22.724683487389733,71.32223275490006
B02V18F0539,22.7335484364298,71.4250237191184
B02V18F0555,22.81518177490017,71.3668813145264
B02V18F0534,22.75218624004721,71.32127764128091
B02V18F0542,22.737293565268033,71.4473707264782
B02V18F0551,22.792571790311676,71.33724012995285
B05V64F1783,22.924875504256413,70.81275725314764
B05V64F1778,22.85629453099488,70.7297060904686
B05V64F1781,22.92925374852922,70.81759881069887
B05V64F1798,22.885349412133692,70.75046392351301
B05V64F1785,22.879940930055717,70.72456098241965
B05V64F1790,22.873043572969813,70.76837639748142
B05V64F1789,22.850501946665904,70.81701180303926
B05V64F1793,22.825081205435286,70.7415689402803
B05V64F1788,22.831603190350453,70.78185260923979
B05V64F1797,22.856204288315567,70.84412897722288
B05V64F1794,22.795295253835427,70.71006928575683
B05V64F1791,22.85727209677305,70.84526118845059
B05V64F1776,22.904468764353478,70.83052972438023
B05V64F1787,22.798870705119064,70.78494442659326
B05V64F1786,22.8615432635792,70.82977545679529
B05V64F1782,22.908118083533836,70.78424061104411
B05V64F1792,22.893966618750554,70.81759307557348
B03V39F1155,22.107150312158883,71.43597237386287
B03V39F1154,22.135868270870464,71.49086038285466
B03V39F1170,22.05840442991676,71.38535645515178
B03V39F1148,22.07229346247213,71.45301982662122
B03V39F1156,22.13021318658177,71.41907896559232
B03V39F1163,22.050621932261144,71.46206134598748
B03V39F1174,22.102530086876293,71.49234308035
B03V39F1172,22.060867399598404,71.44085621062379
B03V39F1173,22.14836352101442,71.41500555295323
B03V39F1152,22.056149025524785,71.43337783247506
B03V39F1165,22.13598839449604,71.40203019848144
B03V39F1175,22.170432090891072,71.48587611604069
B03V39F1167,22.048714113921783,71.42250655850367
B03V39F1171,22.182840344458942,71.41172542532058
B03V39F1178,22.07051402307174,71.46666354197139
B03V39F1150,22.17548567119173,71.44960536439889
B03V39F1161,22.118058978132375,71.45553354600395
B03V39F1151,22.084169629031074,71.48834958626607
B03V39F1164,22.10602800412359,71.44456142167257
B03V39F1160,22.10142194152487,71.43609984885367
B03V39F1157,22.16511457808699,71.41505680839917
B03V39F1177,22.157206052321083,71.50737018761961
B02V15F0434,22.66222855003678,71.50084522791417
B02V15F0450,22.766105524187658,71.55965863926315
B02V15F0437,22.70369373294069,71.46378927843197
B02V15F0454,22.740142078946448,71.54150377400374
B02V15F0462,22.681840534765144,71.61668742452484
B02V15F0455,22.690122139407965,71.5230522286447
B02V15F0427,22.65669778780441,71.53705316683175
B02V15F0451,22.704317932929797,71.57916729878626
B02V15F0463,22.76358565471141,71.48980983106824
B02V15F0449,22.72808010366538,71.51841267364189
B02V15F0464,22.723984613301475,71.57543749885558
B02V15F0432,22.657580070695435,71.53616794099149
B02V15F0436,22.628757335877733,71.53923199014152
B02V15F0465,22.645551943488435,71.58209124348947
B02V15F0440,22.70909351531204,71.55626047332429
B02V15F0425,22.785681188258415,71.56728250868085
B02V15F0446,22.643621434053287,71.545840012919
B02V15F0431,22.666194771154306,71.48736680374749
B02V15F0444,22.667642930645734,71.48555747074887
B02V15F0445,22.771737754220712,71.51468989382043
B02V15F0439,22.69768611820657,71.61295308620731
B02V15F0428,22.696947889693153,71.589685888009
B02V15F0442,22.6938639060877,71.52189484354197
B02V15F0426,22.77806390437546,71.52967130384185
B02V15F0457,22.77604400937001,71.57060394265169
B02V15F0459,22.774247566079154,71.52141991060303
B02V15F0447,22.74518860646694,71.6154494564995
B02V15F0458,22.72314877396223,71.56848839939049
B02V15F0430,22.664196722219092,71.55810208315054
B02V15F0456,22.652211378713297,71.52681586399926
B02V15F0452,22.647022581805537,71.49716482573855
B02V15F0435,22.681251452526027,71.53632466317107
B02V15F0460,22.644073198202786,71.47240587696645
B01V05F0144,22.515988986328622,71.63979750859993
B01V05F0137,22.471593558445203,71.59832649326982
B01V05F0149,22.458362972266283,71.63401430268193
B01V05F0145,22.43428238117294,71.59231041052782
B01V05F0135,22.482537703858227,71.62485773547185
B01V05F0143,22.487401102491027,71.68063063863931
B01V05F0140,22.508080102547172,71.57268208716806
B01V05F0126,22.485903159641367,71.53169568493777
B01V05F0124,22.425682970411362,71.65055137745809
B01V05F0146,22.484282115913818,71.63234765547313
B01V05F0139,22.42619128893258,71.61297803096389
B01V05F0132,22.432462983093483,71.63948412941869
