uid,d3_o,d4_16,d4_1_16,d4_3_16,d5_16,d5_1_16,d5_1_o_16,d6_16,d6_c_16,d7_1_16,d7_1_1_16,d7_2_1_16,d8_1_16,d8_1_1_16,d8_2_1_16,d9_1_16,d10_1_16,d10_1_1_16,d11_1_16,d11_1_1_16,d11_2_1_16,d12_1_16,d14_1_1_16,d14_2_1_16,d14_3_1_16,d14_4_1_16,d15_1_16,d16_1_16,d4_17,d4_1_17,d4_3_17,d5_17,d5_1_17,d5_1_o_17,d6_17,d6_c_17,d7_1_17,d7_1_1_17,d7_2_1_17,d8_1_17,d8_1_1_17,d8_2_1_17,d9_1_17,d10_1_17,d10_1_1_17,d11_1_17,d11_1_1_17,d11_2_1_17,d12_1_17,d14_1_1_17,d14_2_1_17,d14_3_1_17,d14_4_1_17,d15_1_17,d16_1_17
B05V65F1811,Gypsum,.,.,.,,.,.,,.,,,.,,.,,.,,.,,,,.,,,.,,,.,11000,1,0,550,.o,1000kg...ni kimmat chhe,1,550,1,30,1,11000,1,0,0,1,1,3,3,8,4,200,0,1,0,1,1
B05V64F1794,Gypsum,.,.,.,,.,.,,.,,,.,,.,,.,,.,,,,.,,,.,,,.,10500,1,0,5500,3,,1,5500,1,10,1,10500,1,0,0,1,1,5,3,2,4,200,200,1,0,1,1
