id,mean,median
v37f1105c1,2.8744399126838234,2.8684213161468506
03v37f1084,2.0065960800438596,1.9342167377471924
06v80f2304,2.844257443450218,2.8600001335144043
v47f1348c1,3.1278865107783567,2.8953170776367188
03v37f1110,1.7240110609266492,1.6508013010025024
01v01f0001,2.768496605657762,2.6823232173919678
v37f1110c2,1.9528136620154748,1.8747180700302124
v80f2304c1,2.844343962492766,2.808706760406494
03v37f1081,3.563626329438025,3.344774007797241
v37f1089c1,2.930369645458157,2.981675624847412
06v80f2291,2.836458746762199,2.916421890258789
06v80f2306,2.7236590519129673,2.6079776287078857
06v80f2286,3.221714921431108,3.2471141815185547
06v80f2298,2.6498286120574877,2.6000003814697266
80f2306 c1,2.6688551161024305,2.5822343826293945
06v80f2299,3.2782508170250617,3.285271406173706
05v56f1546,3.020925364774816,2.8346304893493652
04v47f1344,3.4256793011675826,4.149692058563232
03v37f1096,3.874724905831473,2.919279098510742
02v18f0547,2.2847177516148744,2.193840742111206
v01f0010c1,1.7910355788010817,1.8798552751541138
02v18f0556,1.6532226295970933,1.6099586486816406
04v47f1348,4.254431351371434,4.399582862854004
06v80f2295,2.857323657507184,2.777696371078491
01v01f0008,3.066889569042175,3.0065503120422363
03v37f1097,1.9033618395841574,1.8333332538604736
03v37f1095,1.9411127775618173,1.9453599452972412
v18f0546c1,1.8924164353755482,1.793888807296753
v37f1095c1,2.0680437954989346,2.0304346084594727
04v47f1339,3.7209802576013513,3.6625261306762695
05v56f1565,3.020803810062265,2.9863014221191406
v37f1110c1,1.6120100021362305,1.5778791904449463
v37f1096c1,3.1694752412683824,2.5533664226531982
05v56f1558,2.2734254081294223,2.247357130050659
05v56f1548,2.6785667216883295,2.8107521533966064
01v01f0010,2.0909258755770597,2.1091561317443848
06v80f2294,2.7219559518914473,2.724881172180176
06v80f2300,3.0352605600826075,3.2116713523864746
02v18f0535,2.555431963946368,2.381679058074951
02v18f0537,2.2089960675586684,2.1312220096588135
02v18f0546,2.0651936674322693,1.8982449769973755
02v18f0538,1.9746950422014509,1.951369285583496
03v37f1105,2.9348595883665967,2.8929028511047363
02v18f0545,2.9213641907524144,2.953125476837158
03v37f1089,2.9968773805094955,3.0298171043395996
01v01f0011,2.2481851345155297,1.9811346530914307
v37f1081c1,2.726492479112413,2.744898557662964
04v47f1345,4.5274132361778845,4.504158020019531
05v56f1543,3.671652962641461,3.7302327156066895
v47f1345c1,3.751502354939779,3.732271909713745
v37f1084c1,1.9126156635165954,1.8907405138015747
02v18f0541,2.097461640522742,1.9708225727081299
05v64f1783,2.874464494468522,2.9766764640808105
03v39f1155,2.5500596308075223,2.584200143814087
03v39f1154,2.8437598092215404,2.911308526992798
02v15f0434,2.781535871638808,2.8038740158081055
v39f1154c1,3.1091686341820695,3.1377551555633545
v39f1170c1,2.722887957537616,2.767195701599121
v39f1155c1,2.491823196411133,2.4988980293273926
01v05f0144,2.6754236394708806,2.66072416305542
v14f0402c1,1.858559329493516,1.8227852582931519
01v05f0137,3.4146895735231166,3.3101603984832764
06v76f2168,1.8968566141010803,1.5717685222625732
v37f1091c2,2.846908934378738,2.734286069869995
05v64f1778,2.610600601007909,2.6376559734344482
06v76f2167,2.4807793195857557,2.399477958679199
01v08f0225,1.7717987191523605,1.628246784210205
02v14f0391,3.1014436291110132,3.1297028064727783
03v39f1170,2.862932564008354,2.896153450012207
03v37f1091,2.9734713784196742,2.831707000732422
05v64f1781,2.11340576171875,2.061021327972412
04v55f1515,2.9870128631591797,2.922276020050049
01v08f0219,2.4275723347621683,2.234693765640259
02v14f0395,2.156631019467213,2.0821046829223633
01v05f0149,1.744176503774282,1.620267629623413
02v22f0663,3.1273978097098216,3.042640209197998
04v43f1233,4.159064693727355,4.05626106262207
02v14f0402,2.156381318063447,1.9744118452072144
20v22f0676,3.900856955009594,3.8847246170043945
15f0450 c1,3.588758449098763,3.5578954219818115
03v39f1148,2.566613539209906,2.510080575942993
02v15f0450,3.651614927249693,3.529412031173706
01v03f0070,2.712738996781643,2.4964702129364014
06v76f2161,2.9502747147171586,2.8931632041931152
v43f1221c1,3.235598582141804,3.137075662612915
04v43f1221,3.5715574154183884,3.2777788639068604
v37f1091c1,2.6158582363204053,2.572580337524414
02v14f0413,3.177313486735026,3.079577684402466
6v80f2285c,2.9312559240004594,2.883024215698242
02v20f0619,1.9443060557047527,1.7980363368988037
01v11f0329,,
02v15f0437,3.1702809053308822,3.161710500717163
02v15f0454,1.7905211112868618,1.7409241199493408
02v15f0662,3.092783414400541,3.044917583465576
01v03f0077,3.386672876443073,3.3921561241149902
v14f0411c1,1.9751132142310048,1.9157390594482422
02v14f0411,2.1699640843775367,2.049654722213745
02v19f0591,2.1661511670361766,2.1753554344177246
02v15f0455,3.7375665480090725,3.7757322788238525
04v50f1405,2.8712542724609373,3.5074095726013184
05v60f1655,2.5300721864442566,2.5267174243927
v50f1405c1,2.1421154915018286,3.463895320892334
02v15f0427,1.9858963012695312,1.9039344787597656
02v18f0536,2.3569635324038787,2.0437018871307373
06v80f2288,3.0621303013392858,2.971458673477173
04v43f1224,4.586923038258272,4.536063194274902
05v60f1658,2.074797107327369,2.0297765731811523
01v03f0084,2.30256781176986,2.2826855182647705
01v02f0044,2.6521000581629135,2.6349716186523438
06v80f2285,2.9450085698341835,2.9417805671691895
01v11f0325,2.1560690286276225,2.0703704357147217
06v76f2172,3.510620521393833,3.171222686767578
04v51f1435,4.184532752403846,4.123042583465576
04v51f1419,4.631539426015379,4.594813823699951
02v15f0451,3.0557017700834423,3.017369508743286
05v62f1733,2.217448675810401,2.209439992904663
02v14f0407,2.194715587370986,1.9287256002426147
v08f0221c1,3.2811620142552758,3.279202461242676
05v66f1853,2.354980032784598,2.287409782409668
01v08f0215,3.1951589682667527,3.1310973167419434
04v46f1320,2.656068281693892,2.5374202728271484
04v50f1411,4.04494005568484,4.102572917938232
46f1320 c1,2.62338882196145,2.5305638313293457
v50f1411c1,4.1831817626953125,4.0940423011779785
06v70f1972,2.728780613588483,2.7607009410858154
01v10f0280,3.6157285391566263,3.6764707565307617
06v70f1955,3.4938112239247743,3.5330584049224854
01v10f0295,4.819532449534862,4.958352565765381
01v12f0345,3.259904161631632,3.1330275535583496
06v70f1980,2.2693027896775724,2.221531391143799
01v08f0212,2.826570510864258,2.9106698036193848
03v28f0828,2.660824222164554,2.602240562438965
01v01f0018,2.6454433519013074,2.542980194091797
01v10f0284,3.119218404314159,3.0423359870910645
05v66f1852,2.844298693598533,2.7910728454589844
51f1419 c1,4.593315124511719,4.561418533325195
01v08f0221,3.0904564672662307,3.0917162895202637
v28f0828c1,2.6654527936662946,2.651409864425659
v27f0819c2,2.874284710800439,2.9282052516937256
04v50f1409,2.9486476353236606,2.848672389984131
03v28f0852,3.9023127943705145,3.72727370262146
05v65f1803,2.9914226028154483,2.9893240928649902
04v50f1413,3.1503493793995307,3.588665008544922
03v27f0819,3.8834665335860907,3.594552993774414
02v21f0624,1.3390354124967716,2.034883975982666
v75f2133c2,2.660254722417787,2.6601057052612305
v75f2128c1,2.4579844373337765,2.2327382564544678
03v27f0808,3.3254564073350696,3.3548383712768555
01v04f0105,2.2573659796463814,2.186561107635498
01v06f0161,2.6200462341308595,2.662562370300293
05v65f1828,2.911227976782082,2.877976179122925
03v28f0835,2.8757814781688085,2.5432326793670654
v50f1413c1,4.63442970888458,4.67462682723999
04v50f1404,3.9956065091219815,3.909432888031006
03v28f0842,3.409720703125,3.5010225772857666
02v21f0635,1.601627852277058,1.6235744953155518
v04f0105c1,2.2966949174988947,2.318652868270874
02v21f0648,2.353467217807112,2.2672042846679688
v28f0848c1,4.1459297180175785,4.1622724533081055
02v21f0645,3.0128032977764425,3.019047975540161
b05v65f827,2.361788200609612,2.397993564605713
02v21f0634,1.6924273899623326,1.666963815689087
v28f0835c1,3.8623278387661637,3.8622488975524902
06v75f2128,2.3962203429861706,2.1814165115356445
v28f0842c1,3.3562448091596084,3.4754092693328857
03v28f0848,4.067980194091797,4.102430820465088
v27f0819c1,3.8907793830422794,3.6767678260803223
04v50f1397,4.171179962158203,4.163416385650635
05v65f1819,2.9445618849534254,2.93216872215271
02v21f0641,2.379233065518466,2.328385829925537
06v75f2133,2.586384262037128,2.55056095123291
v75f2133c1,2.8829347684785915,2.8467295169830322
06v75f2147,2.5221309396217793,2.404726266860962
03v31f0918,3.531649005946828,3.3684215545654297
04v53f1458,4.011002837634478,3.257296085357666
02v25f0730,2.6495180996981533,2.5479555130004883
v31f0934c1,3.651481119791667,3.6010634899139404
02v25f0747,2.310087367466518,2.228914976119995
04v53f1473,3.369180779708059,3.510791301727295
v31f0917c1,3.64738380251907,3.6102001667022705
04v53f1461,3.8487380455280173,3.843860626220703
02v25f0757,2.5982778297280364,2.307809829711914
05v64f1798,3.447700437435434,3.3555305004119873
02v25f0746,2.48882440324715,2.4639649391174316
v31f0909c1,3.566365144690689,3.6352362632751465
01v03f0076,2.8744113728151484,2.5374999046325684
03v31f0917,3.4983471019847974,3.527512311935425
03v31f0910,2.832834266754518,2.8759217262268066
v31f0915c1,3.267176626070664,3.3263602256774902
v31f0910c1,2.954693987652972,3.024318218231201
03v31f0924,3.5793253580729165,3.6895241737365723
02v25f0743,2.696251146721117,2.7011313438415527
01v03f0094,2.287707227895691,2.246527671813965
06v79f2276,2.2427034818209135,2.2549021244049072
02v25f0761,2.1483635754318713,1.8811880350112915
03v31f0934,3.606779859402952,3.4800000190734863
03v31f0915,3.202962909379287,3.241090774536133
01v03f0065,2.4204494335033275,2.3387467861175537
01v03f0072,3.3425381169842847,3.3260276317596436
03v31f0909,3.9555906212848164,3.6463444232940674
01v03f0080,2.147037142799014,2.1278634071350098
05v64f1785,2.8682324639682113,2.826589584350586
06v79f2253,2.189222034655119,2.1171457767486572
02v25f0741,2.1361285122958096,2.156590461730957
04v53f1468,3.72584682557641,3.7134647369384766
v13f0390c1,2.8468189728565707,2.842695951461792
06v70f1953,3.153507188480333,3.137362480163574
02v20f0599,2.200213587561319,2.1511330604553223
02v20f0608,2.148466095210999,2.034883975982666
03v37f1100,3.1555213928222656,3.1485071182250977
01v13f0384,2.6998722868145637,2.5780045986175537
