id,mean,median
v37f1105c1,2.5322381619414593,2.522427558898926
03v37f1084,2.5348583020662008,2.6734511852264404
06v80f2304,3.3711453223413277,3.275092840194702
v47f1348c1,2.54888916015625,2.5584843158721924
03v37f1110,1.1148128933376735,1.0919618606567383
01v01f0001,2.8157255111202115,2.818601131439209
v37f1110c2,1.0053940552931566,0.9676614999771118
v80f2304c1,3.4906525788483798,3.40548038482666
03v37f1081,3.036155123670562,2.9056122303009033
v37f1089c1,2.7731954283633473,2.7386019229888916
06v80f2291,3.137314413958055,3.2470741271972656
06v80f2306,3.5127021575642523,3.5408971309661865
06v80f2286,3.710537997159091,3.752028703689575
06v80f2298,2.689174719024123,2.7217164039611816
80f2306 c1,3.586725531684028,3.610598087310791
06v80f2299,3.9507174350247523,3.974226713180542
05v56f1546,2.446100212545956,2.350264549255371
04v47f1344,3.5677671327695744,3.8349249362945557
03v37f1096,2.254339599609375,2.2962870597839355
02v18f0547,2.535454606210719,2.5471699237823486
v01f0010c1,1.6893081665039062,1.6783087253570557
02v18f0556,1.8949520993961517,1.8614864349365234
04v47f1348,4.29521776282269,3.6848244667053223
06v80f2295,2.4581137470815375,2.2600622177124023
01v01f0008,2.5275323138973578,2.4225165843963623
03v37f1097,1.7622547391094738,1.7374701499938965
03v37f1095,2.2485955988319173,2.250117063522339
v18f0546c1,1.436699850517407,1.38057541847229
v37f1095c1,2.3298140092329547,2.2930445671081543
04v47f1339,3.225337672877956,3.176151752471924
05v56f1565,2.9217086447808978,2.8464818000793457
v37f1110c1,1.1237435340881348,1.0892460346221924
v37f1096c1,2.0701636819278493,1.8715486526489258
05v56f1558,3.002647927722091,3.0
05v56f1548,3.3653288984720686,3.390322685241699
01v01f0010,1.7109696821732954,1.678617000579834
06v80f2294,3.2212492290296053,3.266049861907959
06v80f2300,4.156092409227715,4.4162373542785645
02v18f0535,2.946783282305743,2.800537109375
02v18f0537,1.9651823664990422,1.9961587190628052
02v18f0546,1.660221607388345,1.5310436487197876
